RD_Invalid,RD_ID,RD_DeviceID,RD_Bib,RD_Transponder,RD_Time,Contest.Name,RD_TimingPoint,RD_OrderID,RD_Hits,RD_RSSI,RD_UTCTime
0,1,T-22701,1,1,43902.7,,START,169931,1,-68,2025-04-10T12:11:42+02:00
0,3,T-22701,1,1,43934.1,,START,169931,4,-56,2025-04-10T12:12:14+02:00
0,4,T-22701,2,2,43959.1,,START,169931,1,-57,2025-04-10T12:12:39+02:00
0,6,T-22701,2,2,43980.2,,START,169931,2,-60,2025-04-10T12:13:00+02:00
0,7,T-22701,3,3,44103.2,,START,169931,1,-66,2025-04-10T12:15:03+02:00
0,8,T-22701,1,1,44107.8,,START,169931,1,-70,2025-04-10T12:15:07+02:00
0,9,T-22701,5,5,44109.1,,START,169931,1,-68,2025-04-10T12:15:09+02:00
0,10,T-22701,2,2,44110.8,,START,169931,1,-55,2025-04-10T12:15:10+02:00
0,16,T-22701,1,1,44129,,START,169931,1,-62,2025-04-10T12:15:29+02:00
0,17,T-22701,4,4,44129.6,,START,169931,1,-65,2025-04-10T12:15:29+02:00
0,18,T-22701,3,3,44131.8,,START,169931,1,-60,2025-04-10T12:15:31+02:00
0,19,T-22701,5,5,44134.2,,START,169931,6,-51,2025-04-10T12:15:34+02:00
0,2,T-22702,1,1,43925.3,,FINISH,169931,6,-49,2025-04-10T12:12:05+02:00
0,5,T-22702,2,2,43967.7,,FINISH,169931,4,-58,2025-04-10T12:12:47+02:00
0,11,T-22702,3,3,44116.7,,FINISH,169931,5,-54,2025-04-10T12:15:16+02:00
0,12,T-22702,2,2,44118.6,,FINISH,169931,4,-60,2025-04-10T12:15:18+02:00
0,13,T-22702,4,4,44119.9,,FINISH,169931,1,-64,2025-04-10T12:15:19+02:00
0,14,T-22702,1,1,44121.3,,FINISH,169931,1,-65,2025-04-10T12:15:21+02:00
0,15,T-22702,5,5,44122.6,,FINISH,169931,7,-55,2025-04-10T12:15:22+02:00
0,20,T-22702,5,5,44270.8,,FINISH,169931,1,-80,2025-04-10T12:17:50+02:00
0,21,T-22701,5,5,44372.8,,START,169931,3,-57,2025-04-10T12:19:32+02:00
0,22,T-22701,2,2,44374.2,,START,169931,1,-68,2025-04-10T12:19:34+02:00
0,23,T-22701,1,1,44381.7,,START,169931,1,-69,2025-04-10T12:19:41+02:00
0,24,T-22701,4,4,44381.7,,START,169931,1,-80,2025-04-10T12:19:41+02:00
0,25,T-22701,4,4,44524.2,,START,169931,3,-48,2025-04-10T12:22:04+02:00
0,26,T-22701,4,4,44551.2,,START,169931,3,-58,2025-04-10T12:22:31+02:00
0,27,T-22702,4,4,44559.4,,FINISH,169931,3,-58,2025-04-10T12:22:39+02:00
0,28,T-22702,2,2,44605.2,,FINISH,169931,6,-49,2025-04-10T12:23:25+02:00
0,29,T-22702,4,4,44621.2,,FINISH,169931,1,-62,2025-04-10T12:23:41+02:00
0,30,T-22702,2,2,44629.7,,FINISH,169931,7,-52,2025-04-10T12:23:49+02:00
0,31,T-22702,5,5,44630.4,,FINISH,169931,1,-64,2025-04-10T12:23:50+02:00
0,32,T-22702,1,1,44639.9,,FINISH,169931,5,-47,2025-04-10T12:23:59+02:00
0,33,T-22702,4,4,44683.5,,FINISH,169931,5,-56,2025-04-10T12:24:43+02:00
0,34,T-22702,1,1,44702.9,,FINISH,169931,2,-65,2025-04-10T12:25:02+02:00
0,35,T-22702,5,5,44707.5,,FINISH,169931,2,-61,2025-04-10T12:25:07+02:00
0,36,T-22702,4,4,44707.8,,FINISH,169931,1,-63,2025-04-10T12:25:07+02:00
0,37,T-22701,4,4,44713.1,,START,169931,8,-48,2025-04-10T12:25:13+02:00
0,38,T-22702,5,5,44737,,FINISH,169931,9,-54,2025-04-10T12:25:37+02:00
0,39,T-22702,4,4,44738.5,,FINISH,169931,2,-61,2025-04-10T12:25:38+02:00
0,40,T-22702,2,2,44762.2,,FINISH,169931,2,-56,2025-04-10T12:26:02+02:00
0,41,T-22702,3,3,44763.4,,FINISH,169931,1,-64,2025-04-10T12:26:03+02:00
0,42,T-22702,1,1,44763.7,,FINISH,169931,2,-55,2025-04-10T12:26:03+02:00
0,43,T-22702,5,5,44764.6,,FINISH,169931,5,-57,2025-04-10T12:26:04+02:00
0,44,T-22702,4,4,44774.2,,FINISH,169931,4,-62,2025-04-10T12:26:14+02:00
0,45,T-22702,2,2,44782.8,,FINISH,169931,5,-57,2025-04-10T12:26:22+02:00
0,46,T-22702,3,3,44783.5,,FINISH,169931,1,-67,2025-04-10T12:26:23+02:00
0,47,T-22702,5,5,44785.2,,FINISH,169931,2,-65,2025-04-10T12:26:25+02:00
0,48,T-22702,1,1,44786.8,,FINISH,169931,5,-53,2025-04-10T12:26:26+02:00
0,49,T-22702,4,4,44807.3,,FINISH,169931,2,-66,2025-04-10T12:26:47+02:00
0,50,T-22702,1,1,44807.5,,FINISH,169931,2,-62,2025-04-10T12:26:47+02:00
